area,rooms,bathrooms,wilaya,municipality,property_type,floor,is_furnished,has_elevator,rent_type,amenities,price
120,2,2,M'Sila,Boussaada,Apartment,6,0,0,daily,"Pool,Wifi,Heating,Elevator,Garden",2300
118,4,3,Constantine,Constantine City,Apartment,9,0,1,monthly,"Elevator,Air Conditioning,Heating,Security 24/7",77000
41,1,2,Algiers,Bab Ezzouar,Studio,1,0,1,monthly,"Wifi,Air Conditioning,Garden,Security 24/7",32000
63,3,1,Oran,Oran City,Apartment,1,1,1,monthly,"Heating,Elevator",79000
396,7,3,Constantine,Constantine City,Villa,0,1,0,monthly,Air Conditioning,392000
162,3,3,Setif,Setif City,Apartment,8,1,0,daily,Parking,8800
60,2,1,Setif,El Eulma,Apartment,9,0,1,monthly,"Wifi,Garden,Elevator",42500
102,2,1,Constantine,Constantine City,Apartment,3,1,0,monthly,"Wifi,Pool,Garden",82000
89,3,3,M'Sila,M'Sila City,Apartment,9,0,0,daily,Security 24/7,2000
83,4,2,Constantine,El Khroub,Apartment,5,0,1,monthly,Elevator,57000
54,1,3,Algiers,Sidi M'Hamed,Studio,0,1,1,monthly,"Wifi,Security 24/7",58000
70,4,3,Constantine,El Khroub,Apartment,0,0,0,monthly,"Heating,Wifi,Security 24/7,Air Conditioning,Garden",55500
164,2,2,Setif,Setif City,Apartment,7,0,1,monthly,"Garden,Elevator",75000
107,3,1,M'Sila,Magra,Apartment,4,1,0,monthly,Garden,55500
47,1,1,Algiers,Bab Ezzouar,Studio,2,0,0,monthly,"Pool,Air Conditioning,Elevator",35500
135,4,1,Setif,Ain Arnat,Apartment,2,1,1,monthly,"Pool,Parking,Wifi,Heating,Air Conditioning,Elevator",107000
78,5,1,Algiers,Sidi M'Hamed,Apartment,2,1,1,monthly,"Wifi,Heating,Security 24/7,Elevator,Air Conditioning,Garden",149000
154,3,2,Setif,El Eulma,Apartment,9,1,1,monthly,"Heating,Wifi,Elevator",115000
107,4,2,Algiers,Zeralda,Apartment,9,1,0,daily,"Garden,Heating,Wifi,Security 24/7",11100
49,1,1,Algiers,Bab Ezzouar,Studio,1,1,0,monthly,"Wifi,Heating,Parking,Garden",55500
65,2,3,M'Sila,Magra,Apartment,3,0,0,daily,"Wifi,Garden,Elevator",1500
60,4,3,Algiers,El Biar,Apartment,1,0,1,monthly,"Air Conditioning,Elevator",77000
75,4,3,Constantine,Ali Mendjeli,Apartment,4,0,0,monthly,"Pool,Elevator",48500
47,1,2,Oran,Es Senia,Studio,1,1,1,daily,"Garden,Heating,Wifi,Security 24/7,Elevator",3400
280,7,3,M'Sila,Magra,Villa,0,0,0,monthly,"Pool,Wifi,Elevator,Air Conditioning,Garden",130000
133,3,1,Algiers,El Biar,Apartment,1,0,0,monthly,"Elevator,Parking,Wifi,Security 24/7",119000
132,5,1,Constantine,Constantine City,Apartment,2,1,1,monthly,"Pool,Garden,Security 24/7,Air Conditioning,Elevator",130000
118,4,1,M'Sila,M'Sila City,Apartment,0,0,0,daily,"Air Conditioning,Garden,Heating,Wifi",3400
144,5,3,Setif,El Eulma,Apartment,4,1,0,monthly,"Heating,Elevator,Garden,Security 24/7",112000
86,3,1,Constantine,Constantine City,Apartment,1,0,0,monthly,"Pool,Air Conditioning,Elevator",56500
78,2,1,M'Sila,Magra,Apartment,5,1,1,monthly,"Wifi,Heating,Pool,Elevator",42500
122,5,3,Algiers,El Biar,Apartment,0,0,0,monthly,"Pool,Wifi,Elevator,Heating,Garden",129000
158,4,2,Constantine,Ali Mendjeli,Apartment,3,0,0,daily,Garden,6700
160,2,2,Oran,Es Senia,Apartment,3,1,1,monthly,"Air Conditioning,Elevator",148500
128,4,1,Constantine,Constantine City,Apartment,8,0,1,daily,"Parking,Elevator",8500
60,2,1,Algiers,El Biar,Apartment,6,1,0,monthly,"Parking,Wifi,Elevator,Air Conditioning,Garden",76000
137,2,3,Oran,Es Senia,Apartment,0,1,0,daily,"Heating,Parking,Wifi,Elevator",7700
64,3,2,Oran,Bir El Djir,Apartment,8,0,0,daily,"Pool,Parking,Wifi,Elevator,Garden",5800
150,4,1,Oran,Bir El Djir,Apartment,1,0,1,monthly,"Pool,Garden,Elevator",108000
93,3,3,Algiers,Zeralda,Apartment,4,0,1,monthly,"Parking,Air Conditioning,Heating,Elevator",90500
126,5,1,M'Sila,Boussaada,Apartment,2,0,1,monthly,"Wifi,Pool,Elevator",52500
105,3,2,Algiers,Zeralda,Apartment,0,0,0,monthly,"Parking,Heating,Elevator",97500
35,1,3,Constantine,El Khroub,Studio,0,0,1,monthly,"Garden,Elevator",16500
77,3,2,Setif,Setif City,Apartment,5,0,0,daily,"Pool,Heating,Elevator,Security 24/7,Garden",3600
69,4,2,Algiers,Hydra,Apartment,8,0,0,monthly,Garden,77000
32,1,3,Setif,Ain Arnat,Studio,0,0,1,monthly,"Pool,Heating,Wifi,Air Conditioning,Elevator",16500
99,2,2,Algiers,Sidi M'Hamed,Apartment,3,1,1,monthly,"Air Conditioning,Heating,Parking,Elevator",129000
110,2,2,Oran,Bir El Djir,Apartment,4,0,1,monthly,"Garden,Heating,Security 24/7,Air Conditioning,Elevator",70500
40,1,1,Constantine,Constantine City,Studio,2,0,1,monthly,"Elevator,Security 24/7",17500
97,4,3,Algiers,Sidi M'Hamed,Apartment,2,0,0,monthly,"Wifi,Heating,Elevator,Air Conditioning,Garden",102000
99,5,2,Oran,Bir El Djir,Apartment,5,0,0,monthly,"Parking,Pool,Air Conditioning,Wifi",76500
77,5,3,M'Sila,Magra,Apartment,7,0,1,monthly,"Parking,Air Conditioning,Elevator",39000
46,1,3,Oran,Oran City,Studio,2,0,0,monthly,"Parking,Air Conditioning,Elevator,Security 24/7",22500
160,4,1,Constantine,El Khroub,Apartment,6,0,1,monthly,"Parking,Elevator,Security 24/7",96500
74,2,3,M'Sila,M'Sila City,Apartment,7,0,0,monthly,"Air Conditioning,Wifi,Security 24/7",27500
33,1,3,M'Sila,M'Sila City,Studio,1,1,1,monthly,"Pool,Parking",15000
151,4,2,Constantine,El Khroub,Apartment,9,0,0,monthly,"Air Conditioning,Parking,Elevator",78500
99,4,3,Algiers,Bab Ezzouar,Apartment,4,0,0,monthly,Pool,91000
34,1,2,Algiers,Hydra,Studio,1,0,0,daily,"Parking,Pool,Air Conditioning,Elevator",4500
140,5,3,M'Sila,Magra,Apartment,8,0,1,monthly,"Parking,Garden,Air Conditioning,Elevator",53500
89,2,1,Setif,Ain Arnat,Apartment,0,0,1,daily,"Pool,Parking,Heating,Elevator,Garden",5300
93,5,3,Setif,Ain Arnat,Apartment,0,0,1,monthly,"Air Conditioning,Garden,Elevator",56000
